	515rcbc9	515rcbc8	515rcbc25	515rcbc19	515rcbc18	515rcbc11	515rcbc10	515rcbc35	515rcbc34	515rcbc15	515rcbc32	515rcbc31	515rcbc30	515rcbc37	515rcbc36	515rcbc13	515rcbc12	515rcbc33	515rcbc14	515rcbc20	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc17	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc16
515rcbc9	0.0	0.649350683217	0.667393823335	0.581865091072	0.567376494897	0.592336650732	0.59197854463	0.592800054212	0.580032201729	0.578070993716	0.608007146431	0.619367262771	0.578443114041	0.563732399064	0.652015848107	0.591528027455	0.611415565227	0.611058331192	0.600462829709	0.573383485119	0.597974642226	0.572168811607	0.55671668091	0.585476268439	0.570923681132	0.615550033879	0.578475425446	0.587880378741	0.592539493747	0.607991049501
515rcbc8	0.649350683217	0.0	0.618529318555	0.60595736565	0.615805413441	0.618055025388	0.627861533007	0.65065236652	0.65125279597	0.645171852293	0.578202913783	0.598838830205	0.66565679365	0.609802958892	0.686730274879	0.655078394628	0.658008947023	0.595555859885	0.625155870644	0.613227353719	0.658455374638	0.63512798958	0.638659671109	0.675251626828	0.637003621728	0.683573939698	0.644987067431	0.620646698755	0.637296275553	0.604730320113
515rcbc25	0.667393823335	0.618529318555	0.0	0.650892209654	0.6530122132	0.613344660026	0.673734447867	0.709440804479	0.678371333694	0.66652765518	0.599892140822	0.608885587192	0.681274594159	0.657652483721	0.690986494113	0.705826848093	0.670538314846	0.627517858975	0.669699567384	0.668745541713	0.670088664723	0.66871831855	0.674518029431	0.686869009012	0.653857034163	0.698988985483	0.671036764798	0.646662893704	0.657996860581	0.635368999336
515rcbc19	0.581865091072	0.60595736565	0.650892209654	0.0	0.574189723595	0.597453014982	0.571639737125	0.592775966287	0.586387521117	0.60278053341	0.56725559577	0.579130914704	0.616987960098	0.562863831053	0.644163890134	0.591328240869	0.618234694176	0.577075052594	0.573861198374	0.580545102749	0.608232988255	0.590456266209	0.576851497679	0.607136517368	0.60103010706	0.634408975387	0.567825335155	0.579575142618	0.560735165972	0.575843044697
515rcbc18	0.567376494897	0.615805413441	0.6530122132	0.574189723595	0.0	0.612196261569	0.587902493381	0.595978360217	0.540567546109	0.516758374952	0.628957816383	0.619427531954	0.602564992813	0.566560549921	0.67901470341	0.547780280746	0.611246143168	0.59480935867	0.538702909967	0.559776430599	0.550285977067	0.558740069305	0.547287504422	0.570345636839	0.529155658544	0.568463704337	0.551336610091	0.564731934483	0.565518462276	0.604699567532
515rcbc11	0.592336650732	0.618055025388	0.613344660026	0.597453014982	0.612196261569	0.0	0.585678040253	0.652219982788	0.611613414485	0.618391779561	0.591636704676	0.548923806249	0.625813900367	0.581523600842	0.608762347136	0.636616904905	0.628981701308	0.591100154795	0.595378059183	0.586860879521	0.623960134476	0.597297445168	0.564554605604	0.623073501416	0.577609919874	0.645560628232	0.603393772173	0.587608257678	0.589940177585	0.577524736603
515rcbc10	0.59197854463	0.627861533007	0.673734447867	0.571639737125	0.587902493381	0.585678040253	0.0	0.57126115848	0.563289707245	0.587122808226	0.609377917902	0.581499391702	0.617818418773	0.572359734723	0.671492002326	0.565819562368	0.61695769382	0.557933687628	0.581452898247	0.594193281853	0.590975315828	0.598626326212	0.585092566263	0.592318429491	0.561679700111	0.586892947035	0.583796153375	0.574113490041	0.577856393269	0.568187843791
515rcbc35	0.592800054212	0.65065236652	0.709440804479	0.592775966287	0.595978360217	0.652219982788	0.57126115848	0.0	0.580992216847	0.58257076014	0.640264001656	0.640617146223	0.593775462499	0.587115105831	0.70003423235	0.615901834524	0.627734256155	0.609440644685	0.614045458359	0.612075588633	0.634055954316	0.626875882585	0.598773979346	0.607798916812	0.562631422108	0.598206618284	0.587087045052	0.588520640352	0.57933511925	0.610221462857
515rcbc34	0.580032201729	0.65125279597	0.678371333694	0.586387521117	0.540567546109	0.611613414485	0.563289707245	0.580992216847	0.0	0.531309828261	0.613837445096	0.609328104763	0.582488002211	0.58031794438	0.69520060941	0.548293701773	0.62567345086	0.55914260024	0.55042938116	0.571825335753	0.535734110376	0.535743305034	0.577625850886	0.535107735914	0.541764760711	0.543580588144	0.53395600806	0.562183058286	0.554958503704	0.612463180603
515rcbc15	0.578070993716	0.645171852293	0.66652765518	0.60278053341	0.516758374952	0.618391779561	0.587122808226	0.58257076014	0.531309828261	0.0	0.661210611161	0.610673891601	0.628507832288	0.570961221455	0.69831556894	0.553332105821	0.602368113093	0.59434187568	0.541862673511	0.577327280457	0.589552536728	0.5383712623	0.580518857241	0.529196732997	0.524593666403	0.558267307375	0.541709354424	0.588402689637	0.595824320201	0.613338329316
