	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_69_7.txt	69	7	10.44827	10.03732	9.77836	10.00701	10.14289	10.02007	9.54423	9.96615	10.78214	9.83285	11.25823	9.66286	9.96315	9.2695	9.67027	10.56961	10.63071	11.43581	9.75773	10.26053	10.18687	9.93967	9.3164	10.25352	10.02446	10.72749	10.71241	10.82406	10.03884	8.41133
alpha_rarefaction_69_8.txt	69	8	10.23521	9.23952	9.91316	10.79332	9.94344	10.09627	9.2463	9.79682	9.22891	10.2352	10.22375	10.50623	10.91958	10.85814	10.69593	9.69332	10.58645	10.47967	10.6906	10.8653	11.19069	11.07482	9.2179	10.90846	10.6172	10.76131	10.2588	10.48949	8.43864	9.51845
alpha_rarefaction_69_9.txt	69	9	8.93446	8.70662	10.75185	10.86454	8.55453	10.32687	9.64956	10.21295	9.69089	8.90752	10.36022	9.52673	11.37066	9.78476	9.33757	11.49154	11.34293	10.38938	8.95244	10.27945	10.3855	9.3682	10.20559	9.80678	10.12845	10.02626	9.12791	10.09729	9.44429	10.11108
alpha_rarefaction_128_0.txt	128	0	15.03528	14.23953	14.68493	12.61524	13.36639	13.82984	15.13863	13.58731	14.39019	13.40669	13.97895	15.24872	14.47343	12.84083	13.5831	15.4305	13.0068	14.11488	13.73654	13.53491	14.2992	14.08574	14.17914	15.52266	14.22547	14.90797	13.19195	14.14286	13.86455	13.97195
alpha_rarefaction_128_1.txt	128	1	15.60018	13.93113	13.10966	13.48837	12.41182	14.52774	13.86339	14.10266	14.2332	14.80694	14.84179	13.40992	14.06151	12.35756	14.16426	15.31438	12.70776	15.19729	14.98748	14.60168	14.26065	12.3352	14.4953	14.29492	14.37732	13.13154	13.59087	14.78863	13.4969	13.1404
alpha_rarefaction_128_2.txt	128	2	14.40626	15.16296	14.91102	12.67498	12.39763	14.69147	14.0973	13.71475	13.85611	14.42797	15.37105	14.90801	14.09013	13.21555	13.91374	14.92866	14.22242	14.40529	13.8061	13.06473	14.76633	13.59843	14.34446	15.50719	14.61726	14.33881	14.67594	14.95511	13.97705	12.72903
alpha_rarefaction_128_3.txt	128	3	14.54619	14.26966	12.94229	15.05444	13.79914	13.97466	13.57251	13.79925	14.08569	14.87708	13.46294	14.46093	14.95881	12.66379	14.28845	14.03027	13.45923	15.30155	14.34348	14.28457	14.73624	12.44389	13.90083	15.509	14.69201	14.5899	15.56221	14.90904	13.31154	12.51622
alpha_rarefaction_128_4.txt	128	4	15.84671	14.0765	12.83108	14.91703	14.51783	13.84808	14.05346	13.51463	12.66329	14.80261	15.33947	14.66713	14.29046	12.94999	14.05655	14.22248	12.78287	14.16023	13.0958	15.05781	15.94596	14.74915	13.00382	15.3446	14.77859	15.18379	14.65954	14.27934	12.96716	12.33873
alpha_rarefaction_128_5.txt	128	5	15.06702	14.91429	14.0546	14.11089	12.4255	13.18593	15.22517	12.90328	14.97103	15.39934	13.56255	13.59785	15.44082	13.16475	13.92811	15.18653	13.6469	15.54876	14.2379	14.14922	14.87469	13.17001	14.3139	14.80919	15.36442	14.43651	14.48857	13.53449	13.13636	13.3407
alpha_rarefaction_128_6.txt	128	6	13.00417	15.6427	13.76955	14.28904	12.647	14.45172	12.50181	13.88262	12.96034	15.15539	14.97654	14.7464	13.65289	12.93796	14.25397	15.72099	13.7632	14.38739	14.42968	14.68127	15.40963	14.11316	13.64512	15.37829	14.57115	15.008	14.15068	14.77629	13.34383	12.23539
