	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_69_9.txt	69	9	265.428571429	205.0	318.666666667	431.25	243.0	202.857142857	247.625	324.2	302.0	253.0	349.166666667	210.428571429	760.333333333	446.0	334.6	318.666666667	248.428571429	318.666666667	346.2	235.166666667	225.75	323.2	369.0	261.166666667	334.6	171.0	302.0	289.666666667	281.6	205.0
alpha_rarefaction_128_0.txt	128	0	533.8	363.769230769	514.909090909	388.6	333.0	537.111111111	460.0	514.909090909	391.5	686.0	717.142857143	406.583333333	417.909090909	346.6	465.5	394.2	495.909090909	337.352941176	392.071428571	308.666666667	490.0	359.2	406.230769231	673.111111111	361.2	483.8	375.615384615	480.083333333	558.0	214.714285714
alpha_rarefaction_128_1.txt	128	1	582.272727273	391.769230769	343.071428571	466.5	494.666666667	437.75	309.5625	353.75	344.071428571	291.5625	525.5	621.142857143	414.076923077	502.0	476.272727273	514.909090909	345.272727273	399.5	359.2	578.5	399.5	395.3	312.833333333	421.0	618.0	336.5	422.0	481.083333333	454.0	234.571428571
alpha_rarefaction_128_2.txt	128	2	338.214285714	352.0	717.142857143	304.0	400.1	309.058823529	581.333333333	422.0	516.666666667	438.3	643.272727273	429.0	401.909090909	410.666666667	512.5	615.666666667	414.75	832.428571429	559.0	448.6	332.4375	555.875	557.0	1024.0	685.333333333	309.5	398.5	421.0	441.090909091	426.666666667
alpha_rarefaction_128_3.txt	128	3	453.461538462	463.5	408.363636364	1005.66666667	635.428571429	396.5	179.8	437.076923077	318.071428571	457.0	421.214285714	375.75	299.2	321.4	354.461538462	406.230769231	428.666666667	413.571428571	413.75	604.111111111	347.666666667	247.3125	417.111111111	380.0	472.25	569.111111111	552.0	346.666666667	617.142857143	273.125
alpha_rarefaction_128_4.txt	128	4	716.375	277.789473684	304.4	437.076923077	882.0	515.666666667	354.4	368.153846154	435.333333333	514.5	650.6	613.666666667	392.5	299.571428571	492.6	685.333333333	329.909090909	514.909090909	382.272727273	504.363636364	575.6	626.25	455.0	399.5	369.153846154	457.0	986.5	354.461538462	312.230769231	413.0
alpha_rarefaction_128_5.txt	128	5	499.0	421.0	1023.0	421.0	435.3	450.0	415.75	688.0	703.125	586.3	555.5	378.090909091	478.272727273	546.25	286.5	477.615384615	302.5	596.1	442.090909091	770.5	883.0	374.75	375.090909091	618.0	666.125	493.666666667	486.545454545	422.0	413.75	606.5
alpha_rarefaction_128_6.txt	128	6	332.4375	355.235294118	429.0	430.1	484.333333333	322.076923077	259.25	582.333333333	307.461538462	640.75	716.142857143	622.142857143	496.666666667	259.235294118	391.545454545	1155.0	268.2	550.0	739.0	507.111111111	696.666666667	615.875	422.0	585.3	514.5	645.857142857	332.4375	460.769230769	346.230769231	282.153846154
alpha_rarefaction_128_7.txt	128	7	407.0	477.615384615	406.583333333	354.75	515.666666667	661.0	391.769230769	452.461538462	331.5	591.666666667	337.352941176	476.1	554.5	241.214285714	428.1	477.615384615	362.0	278.875	438.75	283.153846154	661.0	306.461538462	398.5	460.0	490.0	392.545454545	254.05	538.111111111	292.153846154	213.75
alpha_rarefaction_128_8.txt	128	8	330.5	401.909090909	469.090909091	376.090909091	335.214285714	384.714285714	399.5	489.0	360.769230769	536.111111111	516.25	408.363636364	560.0	275.125	331.4375	390.769230769	433.272727273	477.272727273	405.230769231	660.428571429	447.25	316.071428571	465.5	718.5	391.769230769	369.153846154	507.111111111	390.5	531.8	277.833333333
alpha_rarefaction_128_9.txt	128	9	401.4	414.75	569.625	455.833333333	577.5	346.230769231	452.0	286.882352941	316.0	442.090909091	499.0	567.625	309.058823529	354.090909091	381.583333333	601.909090909	298.2	461.0	399.5	351.0	406.0	296.2	502.5	478.272727273	392.071428571	305.0	505.5	626.333333333	410.0	245.0
alpha_rarefaction_187_0.txt	187	0	822.428571429	416.130434783	358.0	495.0	575.461538462	543.0	418.5	540.047619048	495.0	548.058823529	706.0	666.090909091	477.5	334.142857143	567.4	684.4	435.375	446.307692308	517.5625	472.052631579	502.0	510.235294118	322.607142857	565.833333333	545.75	394.65	511.555555556	565.125	563.0	385.625
alpha_rarefaction_187_1.txt	187	1	564.473684211	340.25	743.153846154	556.055555556	516.0	444.25	289.322580645	399.652173913	448.058823529	374.391304348	538.5	510.6875	457.434782609	319.0	554.0	493.052631579	409.5	490.647058824	437.75	399.882352941	440.541666667	348.714285714	631.461538462	596.315789474	513.956521739	439.0	383.565217391	400.652173913	420.368421053	416.166666667
alpha_rarefaction_187_2.txt	187	2	497.05	434.3	533.352941176	490.555555556	477.235294118	404.666666667	450.8	492.555555556	400.0	339.222222222	402.636363636	456.571428571	580.8125	623.769230769	790.833333333	462.625	685.5	506.166666667	558.866666667	484.5	436.0	285.107142857	735.0	642.666666667	442.043478261	607.214285714	406.545454545	624.714285714	486.714285714	348.214285714
alpha_rarefaction_187_3.txt	187	3	692.714285714	585.666666667	520.0	542.5625	551.428571429	374.5	377.44	397.0	450.526315789	355.4	429.75	697.1	442.954545455	377.157894737	416.285714286	692.866666667	336.652173913	587.526315789	552.4	540.176470588	617.833333333	408.555555556	762.461538462	814.75	455.142857143	435.75	353.038461538	700.090909091	364.5	340.5
alpha_rarefaction_187_4.txt	187	4	497.117647059	308.25	948.1	458.434782609	542.714285714	496.05	347.12	469.157894737	415.166666667	642.230769231	521.789473684	520.5625	563.214285714	313.894736842	504.166666667	581.176470588	510.6875	443.333333333	634.066666667	445.058823529	381.076923077	377.5	603.882352941	673.0	519.0	486.0	594.588235294	508.0	598.071428571	319.473684211
alpha_rarefaction_187_5.txt	187	5	806.0	628.0	683.4	454.526315789	420.476190476	416.166666667	445.333333333	448.130434783	422.545454545	718.5	596.5	503.647058824	778.066666667	714.25	615.9375	638.066666667	473.882352941	419.5	468.75	468.4	602.55	727.083333333	502.166666667	667.0	586.5	463.157894737	542.894736842	674.75	423.9	374.9375
alpha_rarefaction_187_6.txt	187	6	762.461538462	467.142857143	414.142857143	387.954545455	823.333333333	487.647058824	337.0	459.772727273	477.166666667	620.0	740.714285714	505.0	849.545454545	480.2	476.166666667	379.75	396.5	434.625	642.5	503.0	659.0	427.894736842	757.083333333	542.894736842	500.869565217	375.285714286	488.0	346.357142857	398.0	403.0
alpha_rarefaction_187_7.txt	187	7	463.625	558.0	391.791666667	644.5	846.545454545	513.235294118	414.5	470.75	339.04	472.052631579	566.473684211	391.055555556	333.896551724	424.058823529	631.461538462	392.791666667	431.0	800.0	404.0	482.235294118	529.105263158	469.055555556	447.058823529	790.5	445.25	401.105263158	586.5	632.375	533.5	338.058823529
alpha_rarefaction_187_8.txt	187	8	811.714285714	435.473684211	535.5	409.0	908.272727273	395.65	483.3	751.928571429	415.894736842	520.789473684	389.777777778	444.25	395.913043478	377.5	512.555555556	595.315789474	673.75	586.5	583.666666667	583.666666667	657.526315789	518.882352941	381.142857143	440.541666667	827.230769231	555.0	390.791666667	390.047619048	540.0	319.058823529
alpha_rarefaction_187_9.txt	187	9	366.84	441.954545455	441.105263158	572.071428571	493.928571429	490.714285714	562.866666667	500.157894737	401.8	661.0	553.05	413.25	483.333333333	303.25	471.714285714	582.333333333	413.894736842	460.619047619	383.315789474	555.0	440.541666667	330.555555556	571.4375	625.055555556	594.4	671.0	526.5	519.789473684	480.235294118	458.230769231
alpha_rarefaction_246_0.txt	246	0	537.37037037	572.5	408.032258065	620.434782609	632.333333333	469.464285714	457.689655172	525.12	572.130434783	730.166666667	621.666666667	861.875	754.772727273	502.555555556	656.956521739	455.689655172	587.0	684.956521739	441.551724138	504.037037037	544.0	485.538461538	533.535714286	808.913043478	1106.4375	646.565217391	572.8	560.166666667	507.0	331.21875
alpha_rarefaction_246_1.txt	246	1	608.433333333	391.676470588	540.37037037	590.25	756.882352941	811.071428571	558.047619048	633.0	414.64	698.0	637.964285714	680.0	593.84	554.666666667	736.714285714	687.291666667	580.043478261	674.55	422.724137931	1011.57142857	609.142857143	516.391304348	542.291666667	543.677419355	1171.21428571	885.8125	655.545454545	636.25	361.236842105	489.217391304
alpha_rarefaction_246_2.txt	246	2	497.870967742	642.5	589.115384615	468.772727273	769.235294118	676.454545455	422.0	865.0	504.4	508.0	718.64	550.047619048	830.526315789	855.058823529	617.12	679.84	440.84	709.636363636	496.7	631.045454545	635.964285714	515.84	784.0	573.5	652.12	436.551724138	412.675675676	529.25	665.869565217	437.9
alpha_rarefaction_246_3.txt	246	3	586.538461538	475.40625	425.028571429	599.714285714	580.25	991.0	426.285714286	671.772727273	445.2	515.730769231	526.12	657.875	636.913043478	551.652173913	707.25	691.12	549.5	527.076923077	928.9375	668.285714286	705.807692308	543.913043478	594.125	755.772727273	842.272727273	500.375	589.25	683.65	521.12	407.0
alpha_rarefaction_246_4.txt	246	4	1172.21428571	527.111111111	611.954545455	586.105263158	658.315789474	760.8125	429.090909091	544.607142857	448.884615385	497.956521739	775.05	513.730769231	560.64	487.5	455.833333333	570.25	347.387096774	615.807692308	709.25	577.043478261	428.0	416.0	611.037037037	677.454545455	1233.76923077	623.636363636	640.8	634.8	543.0	441.3
alpha_rarefaction_246_5.txt	246	5	668.4	439.615384615	602.714285714	457.833333333	428.44	421.2	540.535714286	476.40625	555.045454545	654.157894737	550.875	451.576923077	605.681818182	605.9	473.730769231	756.333333333	452.037037037	367.6	482.0	525.956521739	470.464285714	743.352941176	647.625	1085.21428571	668.4	502.4	543.555555556	434.193548387	398.034482759	412.0
alpha_rarefaction_246_6.txt	246	6	554.230769231	453.5	396.65625	629.125	792.6875	667.5	535.222222222	631.384615385	528.681818182	508.714285714	752.916666667	537.0	677.391304348	437.9	529.565217391	463.875	564.166666667	461.2	628.0	517.129032258	565.2	549.047619048	598.3	744.636363636	452.903225806	515.84	521.884615385	625.636363636	413.666666667	464.526315789
